datetime,open,high,low,close,volume,count
2026-09-17 14:30:00+00:00,1.14901,1.1493,1.1489,1.14921,276,276
2026-09-17 14:31:00+00:00,1.14919,1.14932,1.149,1.14922,307,307
2026-09-17 14:32:00+00:00,1.14921,1.14934,1.149,1.1493,290,290
2026-09-17 14:33:00+00:00,1.14933,1.1494,1.1491,1.14919,257,257
2026-09-17 14:34:00+00:00,1.14926,1.14926,1.149,1.14911,257,257
2026-09-17 14:35:00+00:00,1.14912,1.14922,1.1489,1.14912,243,243
2026-09-17 14:36:00+00:00,1.1491,1.1492,1.1488,1.14904,236,236
2026-09-17 14:37:00+00:00,1.14906,1.1491,1.1486,1.14884,310,310
2026-09-17 14:38:00+00:00,1.14886,1.149,1.1487,1.14882,315,315
2026-09-17 14:39:00+00:00,1.14883,1.14892,1.1486,1.14874,292,292
2026-09-17 14:40:00+00:00,1.14876,1.14898,1.1486,1.14897,273,273
2026-09-17 14:41:00+00:00,1.14897,1.14912,1.1488,1.14906,268,268
2026-09-17 14:42:00+00:00,1.14904,1.1492,1.1489,1.1492,220,220
2026-09-17 14:43:00+00:00,1.14917,1.14928,1.149,1.14918,244,244
2026-09-17 14:44:00+00:00,1.14916,1.14922,1.149,1.14915,277,277
2026-09-17 14:45:00+00:00,1.14914,1.14933,1.1489,1.14933,289,289
2026-09-17 14:46:00+00:00,1.14931,1.1494,1.1492,1.14925,275,275
2026-09-17 14:47:00+00:00,1.14921,1.14934,1.1491,1.14921,314,314
2026-09-17 14:48:00+00:00,1.14923,1.14943,1.1491,1.14928,349,349
2026-09-17 14:49:00+00:00,1.14931,1.14931,1.149,1.14915,330,330
2026-09-17 14:50:00+00:00,1.14912,1.14923,1.149,1.14915,318,318
2026-09-17 14:51:00+00:00,1.14913,1.14918,1.1489,1.14912,293,293
2026-09-17 14:52:00+00:00,1.14911,1.14914,1.1488,1.14895,321,321
2026-09-17 14:53:00+00:00,1.14897,1.149,1.1486,1.14882,337,337
2026-09-17 14:54:00+00:00,1.14882,1.14892,1.1487,1.14883,273,273
2026-09-17 14:55:00+00:00,1.14883,1.14902,1.1487,1.14886,355,355
2026-09-17 14:56:00+00:00,1.14886,1.1489,1.1486,1.14874,295,295
2026-09-17 14:57:00+00:00,1.14872,1.14875,1.1485,1.14869,336,336
2026-09-17 14:58:00+00:00,1.14867,1.14873,1.1485,1.14864,348,348
2026-09-17 14:59:00+00:00,1.14866,1.1487,1.1484,1.1484,333,333
2026-09-17 15:00:00+00:00,1.14861,1.1487,1.1484,1.14852,335,335
2026-09-17 15:01:00+00:00,1.14851,1.1486,1.1482,1.14841,260,260
2026-09-17 15:02:00+00:00,1.14838,1.1486,1.1482,1.14845,289,289
2026-09-17 15:03:00+00:00,1.14843,1.1487,1.1483,1.14863,340,340
2026-09-17 15:04:00+00:00,1.14866,1.1487,1.1483,1.14851,305,305
2026-09-17 15:05:00+00:00,1.14849,1.1488,1.1483,1.14865,333,333
2026-09-17 15:06:00+00:00,1.14862,1.1488,1.1485,1.14868,274,274
2026-09-17 15:07:00+00:00,1.14866,1.1488,1.1485,1.14869,285,285
2026-09-17 15:08:00+00:00,1.14868,1.14872,1.1484,1.14854,291,291
2026-09-17 15:09:00+00:00,1.14853,1.14861,1.1483,1.14839,266,266
2026-09-17 15:10:00+00:00,1.14839,1.14845,1.1482,1.14841,243,243
2026-09-17 15:11:00+00:00,1.14835,1.14846,1.1482,1.14833,301,301
2026-09-17 15:12:00+00:00,1.14835,1.14841,1.148,1.1482,227,227
2026-09-17 15:13:00+00:00,1.14819,1.1483,1.148,1.14825,228,228
2026-09-17 15:14:00+00:00,1.14826,1.1484,1.1481,1.14832,185,185
2026-09-17 15:15:00+00:00,1.14825,1.14832,1.148,1.14825,305,305
2026-09-17 15:16:00+00:00,1.14826,1.14833,1.1481,1.14832,286,286
2026-09-17 15:17:00+00:00,1.14831,1.1484,1.1481,1.14828,291,291
2026-09-17 15:18:00+00:00,1.14831,1.1484,1.1481,1.14836,279,279
2026-09-17 15:19:00+00:00,1.14838,1.1485,1.1483,1.14847,251,251
2026-09-17 15:20:00+00:00,1.14845,1.1485,1.1482,1.14831,294,294
2026-09-17 15:21:00+00:00,1.14832,1.1484,1.1481,1.14831,346,346
2026-09-17 15:22:00+00:00,1.14828,1.14833,1.148,1.14823,284,284
2026-09-17 15:23:00+00:00,1.14822,1.14833,1.148,1.14823,228,228
2026-09-17 15:24:00+00:00,1.14825,1.14832,1.148,1.14814,261,261
2026-09-17 15:25:00+00:00,1.14815,1.1482,1.1479,1.14799,289,289
2026-09-17 15:26:00+00:00,1.14802,1.14803,1.1478,1.14793,327,327
2026-09-17 15:27:00+00:00,1.14793,1.14802,1.1478,1.14797,251,251
2026-09-17 15:28:00+00:00,1.14796,1.148,1.1477,1.14796,215,215
2026-09-17 15:29:00+00:00,1.14796,1.1481,1.1478,1.14798,269,269
2026-09-17 15:30:00+00:00,1.14799,1.14802,1.1478,1.1478,268,268
2026-09-17 15:31:00+00:00,1.14794,1.14801,1.1477,1.14787,298,298
2026-09-17 15:32:00+00:00,1.14786,1.14792,1.1476,1.14772,314,314
2026-09-17 15:33:00+00:00,1.14777,1.1478,1.1476,1.14772,252,252
2026-09-17 15:34:00+00:00,1.1477,1.14781,1.1476,1.14776,316,316
2026-09-17 15:35:00+00:00,1.1478,1.14787,1.1476,1.14783,280,280
2026-09-17 15:36:00+00:00,1.14781,1.1479,1.1476,1.14777,235,235
2026-09-17 15:37:00+00:00,1.14776,1.1478,1.1475,1.14776,194,194
2026-09-17 15:38:00+00:00,1.14775,1.14782,1.1476,1.14777,220,220
2026-09-17 15:39:00+00:00,1.14776,1.14782,1.1476,1.14776,262,262
2026-09-17 15:40:00+00:00,1.14777,1.1478,1.1476,1.14771,253,253
2026-09-17 15:41:00+00:00,1.14776,1.1479,1.1476,1.1479,232,232
2026-09-17 15:42:00+00:00,1.14787,1.14793,1.1477,1.14786,196,196
2026-09-17 15:43:00+00:00,1.14785,1.1479,1.1475,1.14774,278,278
2026-09-17 15:44:00+00:00,1.14775,1.14782,1.1476,1.1477,263,263
2026-09-17 15:45:00+00:00,1.14778,1.14783,1.1476,1.1476,273,273
2026-09-17 15:46:00+00:00,1.14773,1.14773,1.1474,1.14757,260,260
2026-09-17 15:47:00+00:00,1.14755,1.14762,1.1474,1.14754,200,200
2026-09-17 15:48:00+00:00,1.14758,1.1477,1.1474,1.14765,304,304
2026-09-17 15:49:00+00:00,1.14767,1.1478,1.1475,1.14767,228,228
2026-09-17 15:50:00+00:00,1.14771,1.14775,1.1475,1.14764,278,278
2026-09-17 15:51:00+00:00,1.14761,1.14773,1.1474,1.14772,248,248
2026-09-17 15:52:00+00:00,1.1477,1.1478,1.1475,1.14772,248,248
2026-09-17 15:53:00+00:00,1.14771,1.1478,1.1475,1.14773,198,198
2026-09-17 15:54:00+00:00,1.14774,1.1479,1.1476,1.14787,220,220
2026-09-17 15:55:00+00:00,1.14789,1.14789,1.1476,1.14778,233,233
2026-09-17 15:56:00+00:00,1.14779,1.1479,1.1475,1.14771,229,229
2026-09-17 15:57:00+00:00,1.14772,1.1479,1.1475,1.14785,261,261
2026-09-17 15:58:00+00:00,1.14784,1.1479,1.1476,1.14782,240,240
2026-09-17 15:59:00+00:00,1.14782,1.1479,1.1476,1.14781,209,209
2026-09-17 16:00:00+00:00,1.1478,1.1479,1.1476,1.1479,252,252
2026-09-17 16:01:00+00:00,1.14792,1.148,1.1477,1.14789,237,237
2026-09-17 16:02:00+00:00,1.14789,1.1479,1.1476,1.1477,245,245
2026-09-17 16:03:00+00:00,1.14783,1.1479,1.1476,1.14775,225,225
2026-09-17 16:04:00+00:00,1.14777,1.1478,1.1475,1.14768,210,210
2026-09-17 16:05:00+00:00,1.14766,1.14771,1.1475,1.14768,205,205
2026-09-17 16:06:00+00:00,1.14767,1.14769,1.1474,1.14755,224,224
2026-09-17 16:07:00+00:00,1.14758,1.1476,1.1474,1.14758,192,192
2026-09-17 16:08:00+00:00,1.14759,1.1476,1.1474,1.14754,226,226
2026-09-17 16:09:00+00:00,1.14753,1.14765,1.1473,1.14762,179,179
2026-09-17 16:10:00+00:00,1.14765,1.14765,1.1473,1.14759,227,227
2026-09-17 16:11:00+00:00,1.14759,1.1476,1.1473,1.14754,170,170
2026-09-17 16:12:00+00:00,1.14751,1.1476,1.1474,1.14755,147,147
2026-09-17 16:13:00+00:00,1.14754,1.14765,1.1474,1.14757,191,191
2026-09-17 16:14:00+00:00,1.1476,1.1478,1.1474,1.14778,178,178
2026-09-17 16:15:00+00:00,1.14777,1.1479,1.1476,1.14784,257,257
2026-09-17 16:16:00+00:00,1.14783,1.14783,1.1475,1.14768,241,241
2026-09-17 16:17:00+00:00,1.1477,1.1478,1.1475,1.14768,164,164
2026-09-17 16:18:00+00:00,1.14773,1.1478,1.1474,1.1474,126,126
2026-09-17 16:19:00+00:00,1.14762,1.1477,1.1474,1.14762,165,165
2026-09-17 16:20:00+00:00,1.14763,1.14773,1.1474,1.14768,187,187
2026-09-17 16:21:00+00:00,1.14771,1.14772,1.1475,1.14763,194,194
2026-09-17 16:22:00+00:00,1.14767,1.14771,1.1475,1.14764,209,209
2026-09-17 16:23:00+00:00,1.14764,1.1477,1.1474,1.14763,125,125
2026-09-17 16:24:00+00:00,1.14763,1.1477,1.1475,1.14761,174,174
2026-09-17 16:25:00+00:00,1.14766,1.14773,1.1475,1.14766,226,226
2026-09-17 16:26:00+00:00,1.14769,1.1477,1.1475,1.14762,142,142
2026-09-17 16:27:00+00:00,1.1476,1.1477,1.1474,1.14765,181,181
2026-09-17 16:28:00+00:00,1.14765,1.1477,1.1475,1.14769,210,212
2026-09-17 16:29:00+00:00,1.14769,1.1478,1.1475,1.14774,198,198
2026-09-17 16:30:00+00:00,1.14775,1.1478,1.1475,1.14772,233,233
2026-09-17 16:31:00+00:00,1.14774,1.14774,1.1474,1.14756,176,176
2026-09-17 16:32:00+00:00,1.14758,1.1477,1.1473,1.1473,206,206
2026-09-17 16:33:00+00:00,1.14748,1.1476,1.1473,1.14745,254,254
2026-09-17 16:34:00+00:00,1.14746,1.14754,1.1472,1.14751,205,205
2026-09-17 16:35:00+00:00,1.14752,1.1476,1.1474,1.14759,191,191
2026-09-17 16:36:00+00:00,1.14755,1.14762,1.1474,1.14759,182,182
2026-09-17 16:37:00+00:00,1.14757,1.14761,1.1474,1.14754,182,182
2026-09-17 16:38:00+00:00,1.14755,1.1476,1.1473,1.1475,118,118
2026-09-17 16:39:00+00:00,1.14748,1.14761,1.1474,1.1476,155,155
2026-09-17 16:40:00+00:00,1.1477,1.1477,1.1474,1.14763,171,171
2026-09-17 16:41:00+00:00,1.14762,1.1477,1.1474,1.14757,121,121
2026-09-17 16:42:00+00:00,1.14759,1.1476,1.1475,1.14758,106,106
2026-09-17 16:43:00+00:00,1.14759,1.14776,1.1475,1.14772,220,220
2026-09-17 16:44:00+00:00,1.14773,1.1478,1.1476,1.14776,244,244
2026-09-17 16:45:00+00:00,1.14779,1.1478,1.1476,1.14777,158,158
2026-09-17 16:46:00+00:00,1.14774,1.1478,1.1476,1.14773,172,172
2026-09-17 16:47:00+00:00,1.14774,1.14775,1.1475,1.1475,151,151
2026-09-17 16:48:00+00:00,1.14769,1.1478,1.1475,1.14767,218,218
2026-09-17 16:49:00+00:00,1.14769,1.14774,1.1475,1.14769,227,227
2026-09-17 16:50:00+00:00,1.14768,1.1477,1.1474,1.14755,193,193
2026-09-17 16:51:00+00:00,1.14754,1.14764,1.1474,1.14761,218,218
2026-09-17 16:52:00+00:00,1.1476,1.14763,1.1474,1.14763,158,158
2026-09-17 16:53:00+00:00,1.14761,1.1477,1.1474,1.1476,174,174
2026-09-17 16:54:00+00:00,1.14758,1.14764,1.1474,1.1474,211,211
2026-09-17 16:55:00+00:00,1.14753,1.1476,1.1473,1.14744,314,314
2026-09-17 16:56:00+00:00,1.1472,1.14755,1.1472,1.14752,312,312
2026-09-17 16:57:00+00:00,1.14753,1.14755,1.1473,1.14751,219,219
2026-09-17 16:58:00+00:00,1.1475,1.1476,1.1473,1.14757,240,240
2026-09-17 16:59:00+00:00,1.14759,1.14763,1.1475,1.1476,200,200
2026-09-17 17:00:00+00:00,1.14759,1.14764,1.1474,1.14756,212,212
2026-09-17 17:01:00+00:00,1.14758,1.1476,1.1473,1.14755,226,226
2026-09-17 17:02:00+00:00,1.14756,1.1476,1.1473,1.14737,298,298
2026-09-17 17:03:00+00:00,1.1474,1.14752,1.1472,1.14749,233,233
2026-09-17 17:04:00+00:00,1.14751,1.14767,1.1474,1.14767,271,271
2026-09-17 17:05:00+00:00,1.14766,1.1478,1.1474,1.14767,176,176
2026-09-17 17:06:00+00:00,1.1477,1.14774,1.1475,1.14773,178,178
2026-09-17 17:07:00+00:00,1.14771,1.14773,1.1475,1.14769,112,112
2026-09-17 17:08:00+00:00,1.14766,1.1477,1.1475,1.14769,139,139
2026-09-17 17:09:00+00:00,1.14767,1.1478,1.1475,1.14768,154,154
2026-09-17 17:10:00+00:00,1.14765,1.14768,1.1474,1.14758,194,194
2026-09-17 17:11:00+00:00,1.14759,1.14764,1.1474,1.14754,147,147
2026-09-17 17:12:00+00:00,1.14753,1.14755,1.1473,1.14748,144,144
2026-09-17 17:13:00+00:00,1.14749,1.14754,1.1473,1.14751,178,178
2026-09-17 17:14:00+00:00,1.14753,1.1476,1.1474,1.14755,145,145
2026-09-17 17:15:00+00:00,1.14752,1.1476,1.1473,1.14754,210,210
2026-09-17 17:16:00+00:00,1.14755,1.1476,1.1474,1.14753,231,231
2026-09-17 17:17:00+00:00,1.14755,1.1476,1.1474,1.14759,144,144
2026-09-17 17:18:00+00:00,1.14758,1.14761,1.1474,1.14753,175,175
2026-09-17 17:19:00+00:00,1.14753,1.14765,1.1474,1.14764,116,116
2026-09-17 17:20:00+00:00,1.14763,1.1477,1.1475,1.14762,171,171
2026-09-17 17:21:00+00:00,1.1476,1.1477,1.1474,1.14764,132,132
2026-09-17 17:22:00+00:00,1.14762,1.1477,1.1474,1.1476,127,127
2026-09-17 17:23:00+00:00,1.14757,1.14763,1.1474,1.14753,161,161
2026-09-17 17:24:00+00:00,1.14752,1.1476,1.1474,1.1476,146,148
2026-09-17 17:25:00+00:00,1.14761,1.1477,1.1474,1.14764,196,196
2026-09-17 17:26:00+00:00,1.14762,1.14765,1.1474,1.14757,156,156
2026-09-17 17:27:00+00:00,1.14755,1.1476,1.1474,1.14758,128,128
2026-09-17 17:28:00+00:00,1.14757,1.1476,1.1474,1.14755,168,168
2026-09-17 17:29:00+00:00,1.14757,1.1476,1.1473,1.14756,144,144
2026-09-17 17:30:00+00:00,1.14755,1.14768,1.1474,1.14768,159,159
2026-09-17 17:31:00+00:00,1.14767,1.1478,1.1474,1.14769,176,176
2026-09-17 17:32:00+00:00,1.14766,1.1477,1.1475,1.14768,135,135
2026-09-17 17:33:00+00:00,1.14769,1.1477,1.1475,1.14766,176,176
2026-09-17 17:34:00+00:00,1.14769,1.14771,1.1475,1.14761,167,167
2026-09-17 17:35:00+00:00,1.14759,1.1477,1.1474,1.14766,191,191
2026-09-17 17:36:00+00:00,1.14768,1.1478,1.1475,1.14771,164,164
2026-09-17 17:37:00+00:00,1.14769,1.14773,1.1475,1.14772,148,148
2026-09-17 17:38:00+00:00,1.14769,1.1478,1.1475,1.14772,128,128
2026-09-17 17:39:00+00:00,1.14771,1.14772,1.1475,1.14766,141,141
2026-09-17 17:40:00+00:00,1.14767,1.14772,1.1475,1.14767,137,137
2026-09-17 17:41:00+00:00,1.14768,1.1477,1.1475,1.14767,105,105
2026-09-17 17:42:00+00:00,1.14765,1.1477,1.1475,1.14766,107,107
2026-09-17 17:43:00+00:00,1.14767,1.1477,1.1475,1.14756,109,109
2026-09-17 17:44:00+00:00,1.14755,1.1477,1.1474,1.14764,146,146
2026-09-17 17:45:00+00:00,1.14764,1.1477,1.1475,1.1476,161,161
2026-09-17 17:46:00+00:00,1.14761,1.1477,1.1475,1.14765,153,153
2026-09-17 17:47:00+00:00,1.14767,1.14771,1.1475,1.14767,145,145
2026-09-17 17:48:00+00:00,1.14766,1.1477,1.1475,1.14761,152,152
2026-09-17 17:49:00+00:00,1.14764,1.14764,1.1474,1.14757,169,169
2026-09-17 17:50:00+00:00,1.14755,1.14763,1.1474,1.14756,167,167
2026-09-17 17:51:00+00:00,1.14757,1.1477,1.1473,1.14755,149,149
2026-09-17 17:52:00+00:00,1.14754,1.1476,1.1474,1.14758,150,150
2026-09-17 17:53:00+00:00,1.14756,1.14762,1.1474,1.14755,146,146
2026-09-17 17:54:00+00:00,1.14755,1.14767,1.1474,1.14756,201,201
2026-09-17 17:55:00+00:00,1.14758,1.14763,1.1474,1.14762,132,132
2026-09-17 17:56:00+00:00,1.14763,1.1477,1.1474,1.14757,154,154
