datetime,open,high,low,close,volume,count
2026-09-17 14:30:00+00:00,370.975,371.49,370.2877,371.39,418597.854625,17775
2026-09-17 14:35:00+00:00,371.31,371.52,370.58,370.95,292291.536185,15653
2026-09-17 14:40:00+00:00,370.95,371.36,369.61,369.77,343253.788661,17404
2026-09-17 14:45:00+00:00,369.8127,369.99,368.93,368.975,386503.778377,17503
2026-09-17 14:50:00+00:00,368.975,369.47,368.51,368.6,459818.458162,17795
2026-09-17 14:55:00+00:00,368.63,368.8,368.12,368.585,393114.595105,17436
2026-09-17 15:00:00+00:00,368.65,368.65,366.58,366.6,658710.794999,20381
2026-09-17 15:05:00+00:00,366.61,366.905,365.05,365.25,778055.133052,21350
2026-09-17 15:10:00+00:00,365.22,365.55,364.24,364.5494,642129.247482,20147
2026-09-17 15:15:00+00:00,364.5,365.5,364.01,365.265,705818.759084,21228
2026-09-17 15:20:00+00:00,365.22,366.0999,365.14,365.54,528427.367526,18014
2026-09-17 15:25:00+00:00,365.54,366.99,365.4,366.51,574145.10175,18664
2026-09-17 15:30:00+00:00,366.515,366.75,365.65,366.135,375584.212741,15362
2026-09-17 15:35:00+00:00,366.16,367.1599,366.1,366.57,342588.923524,14530
2026-09-17 15:40:00+00:00,366.57,367.34,366.501,366.99,260829.54063,13336
2026-09-17 15:45:00+00:00,366.99,367.28,366.6,367.055,206736.35735,12687
2026-09-17 15:50:00+00:00,367.0342,367.83,367.0304,367.815,296631.329446,13983
2026-09-17 15:55:00+00:00,367.8,369.25,367.6581,369.1671,519575.489403,17290
2026-09-17 16:00:00+00:00,369.13,369.6,368.1655,368.42,858362.911538,18449
2026-09-17 16:05:00+00:00,368.36,368.89,367.82,368.3558,279621.933466,15040
2026-09-17 16:10:00+00:00,368.3205,368.74,367.98,368.3799,160694.874037,9040
2026-09-17 16:15:00+00:00,368.33,368.39,367.7394,368.045,208103.757474,4081
2026-09-17 16:20:00+00:00,368.045,368.2078,367.5,368.165,190913.210873,4189
2026-09-17 16:25:00+00:00,368.165,368.2399,367.47,367.66,193519.049362,3984
2026-09-17 16:30:00+00:00,367.74,367.76,367.0,367.4,264999.291479,5310
2026-09-17 16:35:00+00:00,367.43,367.744,367.32,367.61,159839.79567,3666
2026-09-17 16:40:00+00:00,367.61,367.76,367.27,367.4499,141368.857183,3970
2026-09-17 16:45:00+00:00,367.45,367.46,366.686,366.73,167554.138861,4354
2026-09-17 16:50:00+00:00,366.76,367.37,366.6,366.64,234011.938285,5087
2026-09-17 16:55:00+00:00,366.62,366.81,366.13,366.785,243524.538605,5501
2026-09-17 17:00:00+00:00,366.81,367.19,366.5501,366.715,185191.406632,4088
2026-09-17 17:05:00+00:00,366.68,367.7,366.55,367.58,220435.778669,4187
2026-09-17 17:10:00+00:00,367.58,368.04,367.07,367.14,271503.353007,5138
2026-09-17 17:15:00+00:00,367.135,368.17,366.91,368.005,249870.1091,4749
2026-09-17 17:20:00+00:00,368.05,368.0899,367.165,367.66,188163.052354,4171
2026-09-17 17:25:00+00:00,367.64,367.94,367.46,367.75,696865.807564,3373
2026-09-17 17:30:00+00:00,367.75,368.8,367.51,368.755,232813.995983,4655
2026-09-17 17:35:00+00:00,368.7455,368.82,367.86,367.95,255702.627644,4727
2026-09-17 17:40:00+00:00,367.98,368.23,367.59,367.74,212500.762283,3713
2026-09-17 17:45:00+00:00,367.6651,368.17,367.57,367.95,163984.460034,3342
2026-09-17 17:50:00+00:00,367.94,368.03,367.6501,367.81,118768.548941,3576
2026-09-17 17:55:00+00:00,367.83,368.34,367.71,368.03,454571.37205,3176
2026-09-17 18:00:00+00:00,368.08,368.38,367.66,368.235,179052.811094,3534
