datetime,open,high,low,close,volume,count
2026-09-17 15:00:00+00:00,368.65,369.25,364.01,369.1671,5889232.256987,206972
2026-09-17 16:00:00+00:00,369.13,369.6,366.13,366.785,3102514.296833,82671
2026-09-17 17:00:00+00:00,366.81,368.82,366.55,368.03,3250371.274261,48895
2026-09-17 18:00:00+00:00,368.08,368.38,365.65,366.88,2632792.166016,43618
2026-09-17 19:00:00+00:00,366.845,367.5,365.96,366.04,3634335.032154,72373
2026-09-17 20:00:00+00:00,366.04,366.56,365.6,365.94,4227190.980862,3597
2026-09-17 21:00:00+00:00,365.92,366.2817,365.8701,366.24,36763.301766,1593
