datetime,open,high,low,close,volume,count
2026-09-17 15:00:00+00:00,1.14861,1.1488,1.1474,1.14781,15828,15828
2026-09-17 16:00:00+00:00,1.1478,1.148,1.1472,1.1476,11836,11838
2026-09-17 17:00:00+00:00,1.14759,1.1478,1.1472,1.14771,9818,9820
2026-09-17 18:00:00+00:00,1.14772,1.1478,1.1472,1.14747,9155,9155
2026-09-17 19:00:00+00:00,1.14748,1.1481,1.1473,1.14789,9890,9890
2026-09-17 20:00:00+00:00,1.14785,1.148,1.1472,1.1475,4474,4474
2026-09-17 21:00:00+00:00,1.1475,1.1482,1.14722,1.14767,1711,1712
