datetime,open,high,low,close,volume,count
2026-09-17 14:30:00+00:00,1.14901,1.1494,1.1489,1.14911,1387,1387
2026-09-17 14:35:00+00:00,1.14912,1.14922,1.1486,1.14874,1396,1396
2026-09-17 14:40:00+00:00,1.14876,1.14928,1.1486,1.14915,1282,1282
2026-09-17 14:45:00+00:00,1.14914,1.14943,1.1489,1.14915,1557,1557
2026-09-17 14:50:00+00:00,1.14912,1.14923,1.1486,1.14883,1542,1542
2026-09-17 14:55:00+00:00,1.14883,1.14902,1.1484,1.1484,1667,1667
2026-09-17 15:00:00+00:00,1.14861,1.1487,1.1482,1.14851,1529,1529
2026-09-17 15:05:00+00:00,1.14849,1.1488,1.1483,1.14839,1449,1449
2026-09-17 15:10:00+00:00,1.14839,1.14846,1.148,1.14832,1184,1184
2026-09-17 15:15:00+00:00,1.14825,1.1485,1.148,1.14847,1412,1412
2026-09-17 15:20:00+00:00,1.14845,1.1485,1.148,1.14814,1413,1413
2026-09-17 15:25:00+00:00,1.14815,1.1482,1.1477,1.14798,1351,1351
2026-09-17 15:30:00+00:00,1.14799,1.14802,1.1476,1.14776,1448,1448
2026-09-17 15:35:00+00:00,1.1478,1.1479,1.1475,1.14776,1191,1191
2026-09-17 15:40:00+00:00,1.14777,1.14793,1.1475,1.1477,1222,1222
2026-09-17 15:45:00+00:00,1.14778,1.14783,1.1474,1.14767,1265,1265
2026-09-17 15:50:00+00:00,1.14771,1.1479,1.1474,1.14787,1192,1192
2026-09-17 15:55:00+00:00,1.14789,1.1479,1.1475,1.14781,1172,1172
2026-09-17 16:00:00+00:00,1.1478,1.148,1.1475,1.14768,1169,1169
2026-09-17 16:05:00+00:00,1.14766,1.14771,1.1473,1.14762,1026,1026
2026-09-17 16:10:00+00:00,1.14765,1.1478,1.1473,1.14778,913,913
2026-09-17 16:15:00+00:00,1.14777,1.1479,1.1474,1.14762,953,953
2026-09-17 16:20:00+00:00,1.14763,1.14773,1.1474,1.14761,889,889
2026-09-17 16:25:00+00:00,1.14766,1.1478,1.1474,1.14774,957,959
2026-09-17 16:30:00+00:00,1.14775,1.1478,1.1472,1.14751,1074,1074
2026-09-17 16:35:00+00:00,1.14752,1.14762,1.1473,1.1476,828,828
2026-09-17 16:40:00+00:00,1.1477,1.1478,1.1474,1.14776,862,862
2026-09-17 16:45:00+00:00,1.14779,1.1478,1.1475,1.14769,926,926
2026-09-17 16:50:00+00:00,1.14768,1.1477,1.1474,1.1474,954,954
2026-09-17 16:55:00+00:00,1.14753,1.14763,1.1472,1.1476,1285,1285
2026-09-17 17:00:00+00:00,1.14759,1.14767,1.1472,1.14767,1240,1240
2026-09-17 17:05:00+00:00,1.14766,1.1478,1.1474,1.14768,759,759
2026-09-17 17:10:00+00:00,1.14765,1.14768,1.1473,1.14755,808,808
2026-09-17 17:15:00+00:00,1.14752,1.14765,1.1473,1.14764,876,876
2026-09-17 17:20:00+00:00,1.14763,1.1477,1.1474,1.1476,737,739
2026-09-17 17:25:00+00:00,1.14761,1.1477,1.1473,1.14756,792,792
2026-09-17 17:30:00+00:00,1.14755,1.1478,1.1474,1.14761,813,813
2026-09-17 17:35:00+00:00,1.14759,1.1478,1.1474,1.14766,772,772
2026-09-17 17:40:00+00:00,1.14767,1.14772,1.1474,1.14764,604,604
2026-09-17 17:45:00+00:00,1.14764,1.14771,1.1474,1.14757,780,780
2026-09-17 17:50:00+00:00,1.14755,1.1477,1.1473,1.14756,813,813
2026-09-17 17:55:00+00:00,1.14758,1.14772,1.1474,1.14771,824,824
2026-09-17 18:00:00+00:00,1.14772,1.1478,1.1474,1.14777,902,902
2026-09-17 18:05:00+00:00,1.14774,1.1478,1.1474,1.14757,874,874
2026-09-17 18:10:00+00:00,1.14754,1.1478,1.1473,1.1477,852,852
2026-09-17 18:15:00+00:00,1.1477,1.1477,1.1473,1.14753,747,747
2026-09-17 18:20:00+00:00,1.14755,1.1476,1.1472,1.14737,729,729
2026-09-17 18:25:00+00:00,1.14735,1.1475,1.1472,1.14746,730,730
2026-09-17 18:30:00+00:00,1.14744,1.1475,1.1473,1.14742,703,703
2026-09-17 18:35:00+00:00,1.1474,1.1475,1.1472,1.14744,668,668
2026-09-17 18:40:00+00:00,1.14747,1.14751,1.1473,1.14745,637,637
2026-09-17 18:45:00+00:00,1.14747,1.1476,1.1472,1.14758,769,769
2026-09-17 18:50:00+00:00,1.14755,1.1476,1.1473,1.14753,730,730
2026-09-17 18:55:00+00:00,1.1475,1.14753,1.1472,1.14747,814,814
2026-09-17 19:00:00+00:00,1.14748,1.1477,1.1473,1.14763,946,946
2026-09-17 19:05:00+00:00,1.14762,1.1478,1.1475,1.14775,935,935
2026-09-17 19:10:00+00:00,1.14773,1.1478,1.1475,1.1476,696,696
2026-09-17 19:15:00+00:00,1.14771,1.1478,1.1475,1.14773,674,674
2026-09-17 19:20:00+00:00,1.14772,1.1479,1.1475,1.14777,879,879
2026-09-17 19:25:00+00:00,1.14774,1.1479,1.1476,1.1477,828,828
2026-09-17 19:30:00+00:00,1.14777,1.148,1.1476,1.14788,995,995
2026-09-17 19:35:00+00:00,1.14786,1.148,1.1477,1.14798,685,685
2026-09-17 19:40:00+00:00,1.14795,1.14802,1.1477,1.1479,867,867
2026-09-17 19:45:00+00:00,1.14791,1.148,1.1477,1.14798,709,709
2026-09-17 19:50:00+00:00,1.14795,1.1481,1.1478,1.1481,650,650
2026-09-17 19:55:00+00:00,1.14802,1.1481,1.1477,1.14789,1026,1026
2026-09-17 20:00:00+00:00,1.14785,1.148,1.1476,1.14777,756,756
2026-09-17 20:05:00+00:00,1.14775,1.1478,1.1474,1.14755,500,500
2026-09-17 20:10:00+00:00,1.14755,1.14756,1.1472,1.1474,430,430
2026-09-17 20:15:00+00:00,1.1475,1.1476,1.1473,1.14757,364,364
2026-09-17 20:20:00+00:00,1.14756,1.1477,1.1474,1.14756,316,316
2026-09-17 20:25:00+00:00,1.14755,1.14772,1.1474,1.14765,421,421
2026-09-17 20:30:00+00:00,1.14766,1.1478,1.1475,1.14773,345,345
2026-09-17 20:35:00+00:00,1.14775,1.1478,1.1475,1.14767,289,289
2026-09-17 20:40:00+00:00,1.14768,1.1478,1.1475,1.14768,240,240
2026-09-17 20:45:00+00:00,1.14767,1.1478,1.1475,1.14771,368,368
2026-09-17 20:50:00+00:00,1.1477,1.1478,1.1474,1.14762,173,173
2026-09-17 20:55:00+00:00,1.14759,1.1477,1.1474,1.1475,272,272
2026-09-17 21:00:00+00:00,1.1475,1.148,1.1473,1.1478,58,59
