datetime,open,high,low,close,volume,count
2026-09-17 15:00:00+00:00,332.8,334.93,332.01,334.89,2725346.791426,116695
2026-09-17 16:00:00+00:00,334.9,336.4,334.84,336.11,3227114.524572,86330
2026-09-17 17:00:00+00:00,336.1,336.47,335.28,335.9301,1926630.153435,49618
2026-09-17 18:00:00+00:00,335.96,336.41,335.46,336.2331,1894523.10955,53043
2026-09-17 19:00:00+00:00,336.25,338.34,336.23,337.09,6845256.130808,129394
2026-09-17 20:00:00+00:00,337.06,337.17,336.66,336.72,10531811.845849,1813
2026-09-17 21:00:00+00:00,336.72,337.2,336.72,337.0,193844.329217,1037
